date,reason
2027-10-02,Rosh Hashana 5788
2027-10-03,Rosh Hashana II
2027-10-11,Yom Kippur
2027-10-16,Sukkot I
2027-10-17,Sukkot II
2027-10-18,Sukkot III (CH''M)
2027-10-19,Sukkot IV (CH''M)
2027-10-20,Sukkot V (CH''M)
2027-10-21,Sukkot VI (CH''M)
2027-10-22,Sukkot VII (Hoshana Raba)
2027-10-23,Shmini Atzeret
2027-10-24,Simchat Torah
2028-04-11,Pesach I
2028-04-12,Pesach II
2028-04-13,Pesach III (CH''M)
2028-04-14,Pesach IV (CH''M)
2028-04-15,Pesach V (CH''M)
2028-04-16,Pesach VI (CH''M)
2028-04-17,Pesach VII
2028-04-18,Pesach VIII
2028-05-31,Shavuot I
2028-06-01,Shavuot II
2028-09-21,Rosh Hashana 5789
2028-09-22,Rosh Hashana II
2028-09-30,Yom Kippur
2028-10-05,Sukkot I
2028-10-06,Sukkot II
2028-10-07,Sukkot III (CH''M)
2028-10-08,Sukkot IV (CH''M)
2028-10-09,Sukkot V (CH''M)
2028-10-10,Sukkot VI (CH''M)
2028-10-11,Sukkot VII (Hoshana Raba)
2028-10-12,Shmini Atzeret
2028-10-13,Simchat Torah
2029-03-31,Pesach I
2029-04-01,Pesach II
2029-04-02,Pesach III (CH''M)
2029-04-03,Pesach IV (CH''M)
2029-04-04,Pesach V (CH''M)
2029-04-05,Pesach VI (CH''M)
2029-04-06,Pesach VII
2029-04-07,Pesach VIII
2029-05-20,Shavuot I
2029-05-21,Shavuot II
2029-09-10,Rosh Hashana 5790
2029-09-11,Rosh Hashana II
2029-09-19,Yom Kippur
2029-09-24,Sukkot I
2029-09-25,Sukkot II
2029-09-26,Sukkot III (CH''M)
2029-09-27,Sukkot IV (CH''M)
2029-09-28,Sukkot V (CH''M)
2029-09-29,Sukkot VI (CH''M)
2029-09-30,Sukkot VII (Hoshana Raba)
2029-10-01,Shmini Atzeret
2029-10-02,Simchat Torah
